route_id,platform,module_tags,total_runs,full_runs,full_failed_runs,full_flaky_runs,log_signal_runs,log_failed_runs,log_flaky_runs,failed_runs,flaky_runs,attempt_failures,pass_rate,last_outcome,last_failed_at,top_error_signature
advanced-journeys.spec.ts :: Advanced Journeys > switch sessions while streaming does not leak messages across sessions,macos,app-shell,196,147,0,0,196,49,0,49,0,49,1.0000,passed,2026-06-08T17:03:03Z,Error: openWorkspaceFromWelcome: chat-panel not found after click
advanced-journeys.spec.ts :: Advanced Journeys > switch sessions while streaming does not leak messages across sessions,windows,app-shell,132,98,0,0,132,24,10,24,10,34,1.0000,passed,2026-06-26T04:28:22Z,Error: expect(locator).toContainText(expected) failed
advanced-journeys.spec.ts :: Advanced Journeys > toggling showToolCalls hides tool-call cards (and can be restored),macos,app-shell,198,147,0,0,198,50,1,50,1,51,1.0000,passed,2026-06-08T17:03:03Z,Error: openWorkspaceFromWelcome: chat-panel not found after click
advanced-journeys.spec.ts :: Advanced Journeys > toggling showToolCalls hides tool-call cards (and can be restored),windows,app-shell,138,98,0,1,138,27,14,27,14,41,0.9898,passed,2026-06-28T08:42:46Z,Error: expect(locator).toBeVisible() failed
advanced-journeys.spec.ts :: Advanced Journeys > tool-call UI renders and chat still completes (mock adapter),macos,app-shell,196,147,0,0,196,49,0,49,0,49,1.0000,passed,2026-06-08T17:03:03Z,Error: openWorkspaceFromWelcome: chat-panel not found after click
advanced-journeys.spec.ts :: Advanced Journeys > tool-call UI renders and chat still completes (mock adapter),windows,app-shell,137,98,0,2,137,23,18,23,18,41,0.9796,passed,2026-06-28T08:42:46Z,Error: expect(locator).toBeVisible() failed
agent-auto-compaction-timeout-recvo2rBlNIMQl.spec.ts :: Agent auto-compaction timeout error mapping (recvo2rBlNIMQl) > shows context recovery guidance instead of E9001 unknown,macos,agent-runtime,172,147,2,0,172,27,0,27,0,31,0.9864,passed,2026-07-08T14:29:00Z,Error: expect(received).toMatch(expected)
agent-auto-compaction-timeout-recvo2rBlNIMQl.spec.ts :: Agent auto-compaction timeout error mapping (recvo2rBlNIMQl) > shows context recovery guidance instead of E9001 unknown,windows,agent-runtime,117,98,0,0,117,19,0,19,0,19,1.0000,passed,2026-07-07T17:40:17Z,Error: expect(received).toMatch(expected)
"agent-context-window-error-recvk7XmqslYXb.spec.ts :: Agent context window exceeded handling (recvk7XmqslYXb) > classifies a raw provider ""maximum context length"" message as actionable, no raw leak",macos,agent-runtime,151,147,0,0,151,4,0,4,0,4,1.0000,passed,2026-06-16T18:03:38Z,Error: page.evaluate: Error: MockAdapter not found for session
"agent-context-window-error-recvk7XmqslYXb.spec.ts :: Agent context window exceeded handling (recvk7XmqslYXb) > classifies a raw provider ""maximum context length"" message as actionable, no raw leak",windows,agent-runtime,105,98,0,0,105,0,7,0,7,7,1.0000,passed,,TimeoutError: locator.evaluate: Timeout 3000ms exceeded.
agent-context-window-error-recvk7XmqslYXb.spec.ts :: Agent context window exceeded handling (recvk7XmqslYXb) > surfaces actionable manual-continue panel (E4011) for a mapped context-window error,macos,agent-runtime,151,147,0,0,151,4,0,4,0,4,1.0000,passed,2026-06-16T18:03:38Z,Error: page.evaluate: Error: MockAdapter not found for session
agent-context-window-error-recvk7XmqslYXb.spec.ts :: Agent context window exceeded handling (recvk7XmqslYXb) > surfaces actionable manual-continue panel (E4011) for a mapped context-window error,windows,agent-runtime,108,98,0,0,108,0,10,0,10,10,1.0000,passed,,TimeoutError: locator.evaluate: Timeout 3000ms exceeded.
agent-im-closed-session-fallback-recvmzZPMrNfCy.spec.ts :: Agent IM closed session fallback (recvmzZPMrNfCy) > closed AgentSession errors resolve to a user-facing prompt without internal ids,macos,agent-im,147,147,0,0,147,0,0,0,0,0,1.0000,passed,,
agent-im-closed-session-fallback-recvmzZPMrNfCy.spec.ts :: Agent IM closed session fallback (recvmzZPMrNfCy) > closed AgentSession errors resolve to a user-facing prompt without internal ids,windows,agent-im,99,98,0,0,99,0,1,0,1,1,1.0000,passed,,TimeoutError: page.waitForLoadState: Timeout 30000ms exceeded.
agent-markdown-local-image-recvoWBRlxjnHK.spec.ts :: Agent Markdown local image rendering (recvoWBRlxjnHK) > renders local image markdown as a visible preview thumbnail,macos,,2,2,0,0,2,0,0,0,0,0,1.0000,passed,,
agent-markdown-local-image-recvoWBRlxjnHK.spec.ts :: Agent Markdown local image rendering (recvoWBRlxjnHK) > renders local image markdown as a visible preview thumbnail,windows,,2,1,0,0,2,1,0,1,0,1,1.0000,passed,2026-07-10T07:48:00Z,Error: expect(locator).toHaveAttribute(expected) failed
agent-message-dotted-dir-link-recvk7XwyJpEJ0.spec.ts :: Agent message dotted-name directory link (recvk7XwyJpEJ0) > clicking a file:// link to a dotted-name directory navigates the file browser into it,macos,browser;chat,147,147,0,0,147,0,0,0,0,0,1.0000,passed,,
agent-message-dotted-dir-link-recvk7XwyJpEJ0.spec.ts :: Agent message dotted-name directory link (recvk7XwyJpEJ0) > clicking a file:// link to a dotted-name directory navigates the file browser into it,windows,browser;chat,110,98,0,0,110,1,11,1,11,12,1.0000,passed,2026-06-26T04:28:22Z,TimeoutError: locator.evaluate: Timeout 3000ms exceeded.
"agent-message-drag-hit-region-recvi4Os2NW8fx.spec.ts :: Agent message drag hit region (recvi4Os2NW8fx, recvi4Ph9YEy40) > agent inline action buttons stay clickable without arming message drag",macos,chat,171,147,0,0,171,23,1,23,1,24,1.0000,passed,2026-06-11T04:03:35Z,Error: expect(locator).toContainText(expected) failed
