route_id,module_tags,total_runs,full_runs,full_failed_runs,full_flaky_runs,log_signal_runs,log_failed_runs,log_flaky_runs,failed_runs,flaky_runs,attempt_failures,pass_rate,failed_runs_macos,failed_runs_windows,last_outcome,last_failed_at,top_error_signature
advanced-journeys.spec.ts :: Advanced Journeys > switch sessions while streaming does not leak messages across sessions,app-shell,666,579,0,0,666,73,14,73,14,87,1.0000,49,24,passed,2026-06-26T04:28:22Z,Error: openWorkspaceFromWelcome: chat-panel not found after click
advanced-journeys.spec.ts :: Advanced Journeys > toggling showToolCalls hides tool-call cards (and can be restored),app-shell,673,579,0,3,673,77,20,77,20,97,0.9948,50,27,passed,2026-06-28T08:42:46Z,Error: openWorkspaceFromWelcome: chat-panel not found after click
advanced-journeys.spec.ts :: Advanced Journeys > tool-call UI renders and chat still completes (mock adapter),app-shell,668,579,0,3,668,72,20,72,20,92,0.9948,49,23,passed,2026-06-28T08:42:46Z,Error: openWorkspaceFromWelcome: chat-panel not found after click
agent-auto-compaction-timeout-recvo2rBlNIMQl.spec.ts :: Agent auto-compaction timeout error mapping (recvo2rBlNIMQl) > shows context recovery guidance instead of E9001 unknown,agent-runtime,623,579,2,0,623,46,0,46,0,50,0.9965,27,19,passed,2026-07-08T14:29:00Z,Error: expect(received).toMatch(expected)
"agent-context-window-error-recvk7XmqslYXb.spec.ts :: Agent context window exceeded handling (recvk7XmqslYXb) > classifies a raw provider ""maximum context length"" message as actionable, no raw leak",agent-runtime,590,579,0,0,590,4,7,4,7,11,1.0000,4,0,passed,2026-06-16T18:03:38Z,TimeoutError: locator.evaluate: Timeout 3000ms exceeded.
agent-context-window-error-recvk7XmqslYXb.spec.ts :: Agent context window exceeded handling (recvk7XmqslYXb) > surfaces actionable manual-continue panel (E4011) for a mapped context-window error,agent-runtime,593,579,0,0,593,4,10,4,10,14,1.0000,4,0,passed,2026-06-16T18:03:38Z,TimeoutError: locator.evaluate: Timeout 3000ms exceeded.
agent-im-closed-session-fallback-recvmzZPMrNfCy.spec.ts :: Agent IM closed session fallback (recvmzZPMrNfCy) > closed AgentSession errors resolve to a user-facing prompt without internal ids,agent-im,580,579,0,0,580,0,1,0,1,1,1.0000,0,0,passed,,TimeoutError: page.waitForLoadState: Timeout 30000ms exceeded.
agent-image-delivery-truthfulness-recvpUwq0X8k1E.spec.ts :: Agent image delivery truthfulness (recvpUwq0X8k1E) > does not accept raw HTML image markup as a rendered artifact,,16,16,0,0,16,0,0,0,0,0,1.0000,0,0,passed,,
agent-image-delivery-truthfulness-recvpUwq0X8k1E.spec.ts :: Agent image delivery truthfulness (recvpUwq0X8k1E) > does not warn for a real image-file link,,16,16,0,0,16,0,0,0,0,0,1.0000,0,0,passed,,
agent-image-delivery-truthfulness-recvpUwq0X8k1E.spec.ts :: Agent image delivery truthfulness (recvpUwq0X8k1E) > warns for an unsupported image success claim,,16,16,0,0,16,0,0,0,0,0,1.0000,0,0,passed,,
agent-image-delivery-truthfulness-recvpUwq0X8k1E.spec.ts :: Agent image delivery truthfulness (recvpUwq0X8k1E) > warns when a later success claim follows an earlier failure without an artifact,,16,16,0,0,16,0,0,0,0,0,1.0000,0,0,passed,,
agent-markdown-local-image-recvoWBRlxjnHK.spec.ts :: Agent Markdown local image rendering (recvoWBRlxjnHK) > renders local image markdown as a visible preview thumbnail,,232,231,0,0,232,1,0,1,0,1,1.0000,0,1,passed,2026-07-10T07:48:00Z,Error: expect(locator).toHaveAttribute(expected) failed
agent-memory-admission-governance-recvpg9S3oulFr.spec.ts :: Agent memory admission governance (recvpg9S3oulFr) > keeps one-task constraints local and preserves mandatory verification gates,,16,16,0,0,16,0,0,0,0,0,1.0000,0,0,passed,,
agent-message-dotted-dir-link-recvk7XwyJpEJ0.spec.ts :: Agent message dotted-name directory link (recvk7XwyJpEJ0) > clicking a file:// link to a dotted-name directory navigates the file browser into it,browser;chat,592,579,0,0,592,2,11,2,11,13,1.0000,0,2,passed,2026-07-22T12:42:51Z,TimeoutError: locator.evaluate: Timeout 3000ms exceeded.
"agent-message-drag-hit-region-recvi4Os2NW8fx.spec.ts :: Agent message drag hit region (recvi4Os2NW8fx, recvi4Ph9YEy40) > agent inline action buttons stay clickable without arming message drag",chat,628,579,0,2,628,38,13,38,13,51,0.9965,23,15,passed,2026-06-11T04:03:35Z,Error: expect(locator).toContainText(expected) failed
"agent-message-drag-hit-region-recvi4Os2NW8fx.spec.ts :: Agent message drag hit region (recvi4Os2NW8fx, recvi4Ph9YEy40) > agent markdown images cancel native drag while body remains non-draggable",chat,586,579,1,0,586,2,6,2,6,10,0.9983,1,1,passed,2026-07-10T07:48:00Z,TimeoutError: locator.evaluate: Timeout 3000ms exceeded.
"agent-untyped-code-block-bg.spec.ts :: Agent untyped code block background (recvi39rUnjN3b) > every fenced block renders through CodeBlock with bg-muted/50, not prose pre",chat,589,579,0,1,589,0,11,0,11,11,0.9983,0,0,passed,,TimeoutError: locator.evaluate: Timeout 3000ms exceeded.
agents-md-model-access-recvpTu7EfeGUv.spec.ts :: AGENTS.md aggregator model access (recvpTu7EfeGUv) > 普通账号不显示 Claude，并清除配置外的历史覆盖值,,1,1,0,0,1,0,0,0,0,0,1.0000,0,0,passed,,
app-launch.spec.ts :: App Launch > should display the main content,app-shell,579,579,0,0,579,0,0,0,0,0,1.0000,0,0,passed,,
app-launch.spec.ts :: App Launch > should have React root mounted,app-shell,579,579,0,0,579,0,0,0,0,0,1.0000,0,0,passed,,
app-launch.spec.ts :: App Launch > should have window with reasonable size,app-shell,581,579,0,0,581,0,2,0,2,2,1.0000,0,0,passed,,TimeoutError: page.waitForLoadState: Timeout 30000ms exceeded.
app-launch.spec.ts :: App Launch > should launch the application successfully,app-shell,579,579,0,0,579,0,0,0,0,0,1.0000,0,0,passed,,
auth.spec.ts :: Authentication > app remains functional after adapter auth error,app-shell,636,579,0,0,636,43,14,43,14,57,1.0000,35,8,passed,2026-06-10T21:46:04Z,Error: openSeededWorkspaceByName: chat-panel not found after click
auth.spec.ts :: Authentication > auth state persists across page navigation,app-shell,628,579,0,0,628,42,7,42,7,49,1.0000,33,9,passed,2026-06-28T06:47:46Z,Error: openSeededWorkspaceByName: chat-panel not found after click
auth.spec.ts :: Authentication > dev auth callback accepts aoedev deep links from the OS protocol event,app-shell,594,578,0,4,594,5,15,5,15,20,0.9931,1,4,passed,2026-07-03T11:30:33Z,Error: expect(locator).toBeVisible() failed
auth.spec.ts :: Authentication > dev auth callback accepts worktree-specific deep links from the OS protocol event,app-shell,8,1,0,0,8,7,0,7,0,7,1.0000,6,1,failed,2026-07-27T19:11:46Z,Error: expect(locator).toContainText(expected) failed
auth.spec.ts :: Authentication > handles network errors during authentication gracefully,app-shell,634,579,0,0,634,43,12,43,12,55,1.0000,33,10,passed,2026-06-28T06:47:46Z,Error: openSeededWorkspaceByName: chat-panel not found after click
auth.spec.ts :: Authentication > handles session expiration inline without popup dialog,app-shell,635,579,0,0,635,42,14,42,14,56,1.0000,34,8,passed,2026-04-23T09:10:40Z,Error: openSeededWorkspaceByName: chat-panel not found after click
auth.spec.ts :: Authentication > login button opens desktop sign-in page in the system browser,app-shell;browser,600,579,0,1,600,5,17,5,17,22,0.9983,3,2,passed,2026-07-03T11:21:24Z,Error: expect(locator).toBeVisible() failed
auth.spec.ts :: Authentication > login page hides the global sidebar after logout,app-shell,626,579,0,3,626,32,18,32,18,50,0.9948,15,17,passed,2026-07-03T11:30:33Z,Error: expect(locator).toBeVisible() failed
auth.spec.ts :: Authentication > login process is stable across multiple attempts,app-shell,579,579,0,0,579,0,0,0,0,0,1.0000,0,0,passed,,
auth.spec.ts :: Authentication > logout clears session and returns to login state,app-shell,579,579,0,0,579,0,0,0,0,0,1.0000,0,0,passed,,
automation-disable-task-keeps-focus-recvm7SK9ZIi6n.spec.ts :: 停用自动化任务保持焦点 (recvm7SK9ZIi6n) > 停用任务后事件卡片保持焦点、视口不滚到当天第一条事件,automation,582,579,0,0,582,2,1,2,1,3,1.0000,1,1,passed,2026-06-16T04:38:26Z,Error: expect(locator).toBeVisible() failed
automation-orphan-workspace-recvngE93af3ZZ.spec.ts :: Automation orphan workspace handling (recvngE93af3ZZ) > keeps subscription automation editable and disables Run Now after the bound workspace is deleted,automation,580,579,0,0,580,1,0,1,0,1,1.0000,0,1,passed,2026-07-03T12:10:28Z,Error: expect(locator).toHaveCount(expected) failed
"automation-output-dir-by-workspace-recvkkmW7ZzpQz.spec.ts :: Automation output directory keyed by Agent space, not schedule name (recvkkmW7ZzpQz) > different schedules in the same workspace land under one Agent-space Auto Prep root, keyed on stable event id",automation;calendar,580,579,0,0,580,0,1,0,1,1,1.0000,0,0,passed,,TimeoutError: page.waitForLoadState: Timeout 30000ms exceeded.
"automation-output-dir-by-workspace-recvkkmW7ZzpQz.spec.ts :: Automation output directory keyed by Agent space, not schedule name (recvkkmW7ZzpQz) > re-saving the same schedule (same event id, changed title) reuses the SAME folder",automation;calendar,579,579,0,0,579,0,0,0,0,0,1.0000,0,0,passed,,
automation-queued-run-links-recvnyhqday3MJ.spec.ts :: Automation queued run links (recvnyhqday3MJ) > opens latest-run affordances directly to the linked runtime session,automation,228,228,0,0,228,0,0,0,0,0,1.0000,0,0,passed,,
automation-queued-run-links-recvnyhqday3MJ.spec.ts :: Automation queued run links (recvnyhqday3MJ) > opens queued latest-run affordances into the run-history detail instead of doing nothing,automation,444,444,0,0,444,0,0,0,0,0,1.0000,0,0,passed,,
automation-recurring-occurrence-run-history-recvoL1bxMkDBv.spec.ts :: Recurring Automation occurrence run history (recvoL1bxMkDBv) > shows only the selected occurrence run in the run-history tab,automation,470,446,0,0,470,24,0,24,0,24,1.0000,12,12,passed,2026-07-10T19:30:06Z,Error: page.evaluate: Error: automation_task_rrule_no_future_occurrence
automation-recurring-occurrence-run-isolation-recvoRn8X2aWRS.spec.ts :: Automation recurring occurrence run isolation (recvoRn8X2aWRS) > does not show one recurring occurrence run on adjacent dates,automation,231,231,0,0,231,0,0,0,0,0,1.0000,0,0,passed,,
automation-resume-tab-click-recvmNvf3124qi.spec.ts :: Automation detail tabs after wake/focus refresh (recvmNvf3124qi) > switches detail tabs immediately after a simulated system resume refresh,automation,143,143,0,0,143,0,0,0,0,0,1.0000,0,0,passed,,
automation-run-artifact-folder-only-recvlg9ouvsmyq.spec.ts :: Automation run artifact folder-only fallback (recvlg9OUVSmYq) > enumerates per-file artifact entries when 产出物 section only shows a folder path,automation,590,579,1,0,590,11,1,11,1,14,0.9983,10,1,passed,2026-07-08T18:47:45Z,Error: expect(locator).toHaveCount(expected) failed
automation-run-history-live-status-recvmAP2pUqI3A.spec.ts :: Automation run history live status refresh (recvmAP2pUqI3A) > refreshes the selected run record while runTaskNow is still in flight,automation,140,140,0,0,140,0,0,0,0,0,1.0000,0,0,passed,,
automation-run-history-tab-region-recvmLLz6NCypZ.spec.ts :: Automation run history tab hit testing (recvmLLz6NCypZ) > keeps the sticky detail navigation no-drag and switches to run history on click,automation,580,579,1,0,580,2,0,2,0,4,0.9983,1,1,passed,2026-07-08T18:47:45Z,Error: expect(locator).toBeVisible() failed
automation-run-now-interrupted-recvnypkXjIl9Q.spec.ts :: Automation Run Now interrupted session handling (recvnypkXjIl9Q) > does not show a run-failed dialog after the user manually stops the run session,automation,234,234,0,0,234,0,0,0,0,0,1.0000,0,0,passed,,
automation-run-open-session-reveals-chat-recvllG8tkchDJ.spec.ts :: Automation run open-session reveals chat panel (recvllG8tkchDJ) > opening an execution record auto-opens the chat panel when it was closed,automation,580,579,1,0,580,2,0,2,0,4,0.9983,1,1,passed,2026-07-08T18:47:45Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
automation-run-result-direct-entry-recvlmf3iuqrwk.spec.ts :: Automation run result direct artifact entry (recvlmF3IUQrWK) > shows result and artifact shortcuts before a long execution summary,automation,583,579,1,0,583,4,1,4,1,7,0.9983,2,2,passed,2026-07-08T18:47:45Z,TimeoutError: locator.click: Timeout 30000ms exceeded.
automation-run-summary-markdown-recvpwi17xw7dk.spec.ts :: Automation run summary Markdown projection (recvpwI17xw7dk) > preserves complete sections without exposing closing Markdown markers,automation,2,2,0,0,2,0,0,0,0,0,1.0000,0,0,passed,,
